Title,Description
PHOTOS: Palestinians flee Israeli onslaught in Gaza’s Rafah,Palestinians sit to next to their belongings as people flee Rafah after Israeli forces launched a ground and air operation in the southern Gaza city on May 9 — Reuters
Ben-Gvir posts cryptic message: ‘Hamas loves Biden’,"Israel’s far-right National Security Minister Itamar Ben-Gvir, who often uses social media to harangue political opponents, has posted a love heart emoji between the words Hamas and Biden, allegedly insinuating that the Palestinian group loves US President Joe Biden, Al Jazeera reports."
Iran says it will build a nuclear bomb if its existence is threatened,"An adviser to Iran’s supreme leader has said the country will have to change its military stance against building a nuclear weapon if the country faces existential threats, Al Jazeera reports."
Israeli forces shoot 15-year-old in the leg during Qalqilya raid,"The Israeli military has shot a 15-year-old Palestinian boy in the leg in the occupied West Bank city of Qalqilya, Al Jazeera reports citing the Wafa news agency."
"Over 80,000 people have fled Rafah following Israeli ground assault, says UN agency","The UN agency for Palestinian refugees (UNRWA) has said that “around 80,000 people have fled Rafah” following the Israeli ground assault."
Vessel carrying aid to US-built pier off Gaza leaves Cyprus,"A vessel carrying aid to a pier built by the US off Gaza set sail from Cyprus, marine tracking websites showed, Reuters reports."
Ireland and Spain could recognise Palestinian state on May 21: report,"Ireland, Spain and a number of other European Union member states are considering recognising a Palestinian state on May 21, Reuters reports citing a report by Ireland’s national broadcaster."
"34,904 Palestinians killed in Israel’s military offensive in Gaza since Oct 7, health ministry says","At least 34,904 Palestinians have been killed and 78,514 injured in Israel’s military offensive in Gaza since Oct 7, Gaza’s health ministry said in a statement, Reuters reports."
What damage can 907kg bombs in halted supply to Israel cause?,"Washington has paused one shipment consisting of 1,800 2,000-pound (907-kg) bombs and 1,700 500-pound bombs, Reuters quotes US officials as saying."
Why the US is stopping some bomb shipments to Israel,"On the matter of the US suspending a weapon shipment to Israel, Defence Secretary Lloyd Austin told a Senate hearing that the US was reviewing “near-term security assistance” in the “context of unfolding events in Rafah”."
What bomb shipments to Israel did US block?,"The United States has suspended a shipment of weapons to Israel, including heavy bombs the US ally used in its campaign against Hamas in Gaza which has killed more than 34,000 Palestinians, Reuters reports."
Israel says Biden threat to stop arms ‘very disappointing’,"Israel’s ambassador to the United Nations has expressed disappointment at US President Joe Biden’s threat to stop certain arms supplies to Israel if it invades the crowded Gaza city of Rafah, AFP reports."
Norwegian Refugee Council says none of its trucks passed through Karem Abu Salem crossing,"The Norwegian Refugee Council (NRC) has said that none of the aid group’s trucks have been permitted to pass through the Karem Abu Salem (Kerem Shalom) post, despite Israel’s claims that the border crossing into Gaza had been reopened on Wednesday, Al Jazeera reports."
Syria shoots down Israeli missiles fired from Golan Heights towards Damascus outskirts,"Syrian air defences shot down Israeli missiles fired from the Golan Heights towards Damascus’ outskirts targeting a building in the countryside, Syria’s defence ministry said, Reuters reports."
Israeli military announces death of soldier in northern Israel,"ypt.The Israeli military has announced that a soldier has been killed in the northern Israeli community of Malkia, Al Jazeera reports."
Dutch police arrest 32 pro-Palestine demonstrators after University of Amsterdam protests,"Dutch riot police clashed on Wednesday with pro-Palestinian protesters as officers moved in to clear barricades at the University of Amsterdam, scene of upheaval since Monday, AFP reports."
US warns Israel that Rafah invasion will jeopardise weapons supply as assault continues,"US President Joe Biden for the first time publicly vowed to withhold weapons from Israel if its forces make a major invasion of Rafah in southern Gaza while negotiations in Cairo on a ceasefire plan for the enclave were due to continue on Thursday, Reuters reports."
Rafah crossing closure ‘exacerbates’ already dire conditions in Gaza: MSF,"Doctors Without Borders (MSF) has called for re-opening the Rafah gate, warning the closure of the crossing between Gaza and Egypt is jeopardising the humanitarian response to the crisis, Al Jazeera reports."
People buried alive at al-Shifa Hospital: Gaza health official,"Director of the Gaza Emergency Operations Centre Motasem Salah has said medics recovered more than 50 bodies from the mass grave at the medical complex, Al Jazeera reports."
"Israeli official says PM, CIA chief discuss ‘pausing’ Rafah assault",An Israeli official has said visiting CIA Director Bill Burns and Prime Minister Benjamin Netanyahu discussed “the possibility” of suspending military operations in Gaza’s Rafah in exchange for Hamas freeing hostages.
ICRC says ‘extremely concerned’ by Rafah operation,A spokesman for the International Committee of the Red Cross has said that the group will be unable to carry out its operations in Gaza if the military operation in Rafah continues.
US decision to pause some weapons shipments is ‘very disappointing’: Israel’s UN Ambassador,"Israel’s UN ambassador Gilad Erdan has said he did not believe the US would stop supplying arms to Israel but called Washington’s decision to hold up some weapons shipments “very disappointing”, even frustrating, Reuters reports."
"Please, please have a ceasefire now: WHO","World Health Organisation (WHO) spokesperson Margaret Harris has warned that hospitals in Gaza only have fuel to operate for the next two to three days as Israel continues to block the Rafah crossing, Al Jazeera reports."
Israel shells Gaza’s Rafah as Biden warns of arms suspension,"Israel has shelled Rafah as US President Joe Biden offered his starkest warning yet over the conduct of its operation against Hamas, vowing to cut off arms transfers if an offensive into the southern Gaza city goes ahead, AFP reports."
"‘Slow death’: No treatment, medical evacuations for injured Gazans","Sick and wounded Palestinians are dying by the hour as they remain trapped in Gaza without medical care due to Israel’s closure of border crossings, Al Jazeera reports quoting the enclave’s health ministry."
PHOTOS: Palestinians flee Israeli onslaught in Gaza’s Rafah,Palestinians sit to next to their belongings as people flee Rafah after Israeli forces launched a ground and air operation in the southern Gaza city on May 9 — Reuters
Ben-Gvir posts cryptic message: ‘Hamas loves Biden’,"Israel’s far-right National Security Minister Itamar Ben-Gvir, who often uses social media to harangue political opponents, has posted a love heart emoji between the words Hamas and Biden, allegedly insinuating that the Palestinian group loves US President Joe Biden, Al Jazeera reports."
Iran says it will build a nuclear bomb if its existence is threatened,"An adviser to Iran’s supreme leader has said the country will have to change its military stance against building a nuclear weapon if the country faces existential threats, Al Jazeera reports."
Israeli forces shoot 15-year-old in the leg during Qalqilya raid,"The Israeli military has shot a 15-year-old Palestinian boy in the leg in the occupied West Bank city of Qalqilya, Al Jazeera reports citing the Wafa news agency."
"Over 80,000 people have fled Rafah following Israeli ground assault, says UN agency","The UN agency for Palestinian refugees (UNRWA) has said that “around 80,000 people have fled Rafah” following the Israeli ground assault."
Vessel carrying aid to US-built pier off Gaza leaves Cyprus,"A vessel carrying aid to a pier built by the US off Gaza set sail from Cyprus, marine tracking websites showed, Reuters reports."
Ireland and Spain could recognise Palestinian state on May 21: report,"Ireland, Spain and a number of other European Union member states are considering recognising a Palestinian state on May 21, Reuters reports citing a report by Ireland’s national broadcaster."
"34,904 Palestinians killed in Israel’s military offensive in Gaza since Oct 7, health ministry says","At least 34,904 Palestinians have been killed and 78,514 injured in Israel’s military offensive in Gaza since Oct 7, Gaza’s health ministry said in a statement, Reuters reports."
What damage can 907kg bombs in halted supply to Israel cause?,"Washington has paused one shipment consisting of 1,800 2,000-pound (907-kg) bombs and 1,700 500-pound bombs, Reuters quotes US officials as saying."
Why the US is stopping some bomb shipments to Israel,"On the matter of the US suspending a weapon shipment to Israel, Defence Secretary Lloyd Austin told a Senate hearing that the US was reviewing “near-term security assistance” in the “context of unfolding events in Rafah”."
What bomb shipments to Israel did US block?,"The United States has suspended a shipment of weapons to Israel, including heavy bombs the US ally used in its campaign against Hamas in Gaza which has killed more than 34,000 Palestinians, Reuters reports."
Israel says Biden threat to stop arms ‘very disappointing’,"Israel’s ambassador to the United Nations has expressed disappointment at US President Joe Biden’s threat to stop certain arms supplies to Israel if it invades the crowded Gaza city of Rafah, AFP reports."
Norwegian Refugee Council says none of its trucks passed through Karem Abu Salem crossing,"The Norwegian Refugee Council (NRC) has said that none of the aid group’s trucks have been permitted to pass through the Karem Abu Salem (Kerem Shalom) post, despite Israel’s claims that the border crossing into Gaza had been reopened on Wednesday, Al Jazeera reports."
Syria shoots down Israeli missiles fired from Golan Heights towards Damascus outskirts,"Syrian air defences shot down Israeli missiles fired from the Golan Heights towards Damascus’ outskirts targeting a building in the countryside, Syria’s defence ministry said, Reuters reports."
Israeli military announces death of soldier in northern Israel,"ypt.The Israeli military has announced that a soldier has been killed in the northern Israeli community of Malkia, Al Jazeera reports."
Dutch police arrest 32 pro-Palestine demonstrators after University of Amsterdam protests,"Dutch riot police clashed on Wednesday with pro-Palestinian protesters as officers moved in to clear barricades at the University of Amsterdam, scene of upheaval since Monday, AFP reports."
US warns Israel that Rafah invasion will jeopardise weapons supply as assault continues,"US President Joe Biden for the first time publicly vowed to withhold weapons from Israel if its forces make a major invasion of Rafah in southern Gaza while negotiations in Cairo on a ceasefire plan for the enclave were due to continue on Thursday, Reuters reports."
Rafah crossing closure ‘exacerbates’ already dire conditions in Gaza: MSF,"Doctors Without Borders (MSF) has called for re-opening the Rafah gate, warning the closure of the crossing between Gaza and Egypt is jeopardising the humanitarian response to the crisis, Al Jazeera reports."
People buried alive at al-Shifa Hospital: Gaza health official,"Director of the Gaza Emergency Operations Centre Motasem Salah has said medics recovered more than 50 bodies from the mass grave at the medical complex, Al Jazeera reports."
"Israeli official says PM, CIA chief discuss ‘pausing’ Rafah assault",An Israeli official has said visiting CIA Director Bill Burns and Prime Minister Benjamin Netanyahu discussed “the possibility” of suspending military operations in Gaza’s Rafah in exchange for Hamas freeing hostages.
ICRC says ‘extremely concerned’ by Rafah operation,A spokesman for the International Committee of the Red Cross has said that the group will be unable to carry out its operations in Gaza if the military operation in Rafah continues.
US decision to pause some weapons shipments is ‘very disappointing’: Israel’s UN Ambassador,"Israel’s UN ambassador Gilad Erdan has said he did not believe the US would stop supplying arms to Israel but called Washington’s decision to hold up some weapons shipments “very disappointing”, even frustrating, Reuters reports."
"Please, please have a ceasefire now: WHO","World Health Organisation (WHO) spokesperson Margaret Harris has warned that hospitals in Gaza only have fuel to operate for the next two to three days as Israel continues to block the Rafah crossing, Al Jazeera reports."
PSO proposes swapping debt for stake in public sector companies,Pakistan State Oil (PSO) said it is in talks with the government on a plan to acquire stakes in public sector energy companies and offset mounting debt it is owed by firms such as the national airline.
PSO proposes swapping debt for stake in public sector companies,Pakistan State Oil (PSO) said it is in talks with the government on a plan to acquire stakes in public sector energy companies and offset mounting debt it is owed by firms such as the national airline.
Imran refuses to tender apology over May 9 riots,"• Says ready to face inquiry into 2014 dharna
• Alvi says those having ‘real power’ should initiate dialogue"
Imran refuses to tender apology over May 9 riots,"• Says ready to face inquiry into 2014 dharna
• Alvi says those having ‘real power’ should initiate dialogue"
Economic crisis deepens amid political instability,"KARACHI: Industrialists and analysts express growing concerns as political protests and wheat farmer demonstrations escalate, casting shadows over business activities and economic stability."
Economic crisis deepens amid political instability,"KARACHI: Industrialists and analysts express growing concerns as political protests and wheat farmer demonstrations escalate, casting shadows over business activities and economic stability."
"Pakistan, Uzbekistan vow early work on rail project","ISLAMABAD: Pakistan and Uzbekis­tan on Wednesday underscored their commitment to the swift completion of the planned railway link that will traverse Afghanistan, connecting the two countries and promising to enhance regional connectivity and trade opportunities."
"Pakistan, Uzbekistan vow early work on rail project","ISLAMABAD: Pakistan and Uzbekis­tan on Wednesday underscored their commitment to the swift completion of the planned railway link that will traverse Afghanistan, connecting the two countries and promising to enhance regional connectivity and trade opportunities."
Combating terrorism is a ‘shared interest’ with Pakistan: US,WASHINGTON: The United States on Wednesday emphasised its ‘shared interest’ with Pakistan in addressing the critical threat that terrorism poses to the entire region.
Combating terrorism is a ‘shared interest’ with Pakistan: US,WASHINGTON: The United States on Wednesday emphasised its ‘shared interest’ with Pakistan in addressing the critical threat that terrorism poses to the entire region.
Opposition leaders slam military involvement in politics,"• Omar Ayub questions who has given DG ISPR right to negotiate
• Mahmood Achakzai insists each institution should stay within its limits
• Hamid Khan says rejection of public mandate led to creation of Bangladesh"
Opposition leaders slam military involvement in politics,"• Omar Ayub questions who has given DG ISPR right to negotiate
• Mahmood Achakzai insists each institution should stay within its limits
• Hamid Khan says rejection of public mandate led to creation of Bangladesh"
May 9 fallout,"A YEAR since the events of May 9, 2023, very little appears to have changed, at least from the political perspective."
May 9 fallout,"A YEAR since the events of May 9, 2023, very little appears to have changed, at least from the political perspective."
The net metering dead end,"LET’S start with putting a couple of undue misapprehensions to rest. I have had the opportunity of interacting with key decision-makers in the power bureaucracy and they assure me of two things. First, solar panels installed in people’s homes are not going to be taxed. Second, the net metering rate at which power utilities buy electricity back from consumers is not going to be revised downward for those who already have their system up and running. They emphasise that changes are being considered in the net metering regulations of 2015, with a view to reducing the amount people receive for the power their systems pump into the grid, but that those with existing systems will not be impacted."
The net metering dead end,"LET’S start with putting a couple of undue misapprehensions to rest. I have had the opportunity of interacting with key decision-makers in the power bureaucracy and they assure me of two things. First, solar panels installed in people’s homes are not going to be taxed. Second, the net metering rate at which power utilities buy electricity back from consumers is not going to be revised downward for those who already have their system up and running. They emphasise that changes are being considered in the net metering regulations of 2015, with a view to reducing the amount people receive for the power their systems pump into the grid, but that those with existing systems will not be impacted."
"Dubai, Baku and Belém","THE federal government has just initiated an important but overly cautious process of streamlining its institutional landscape dealing with climate change. The primary motivation is to stre­ngthen the ability to unlock climate finances. But would establishing the Climate Change Authority, reconstituting the Climate Change Council, or updating the Rules of Business to eliminate redundancies from the climate ministry’s mandate alone help turn around the nation’s climate vulnerabilities or access international finance?"
"Dubai, Baku and Belém","THE federal government has just initiated an important but overly cautious process of streamlining its institutional landscape dealing with climate change. The primary motivation is to stre­ngthen the ability to unlock climate finances. But would establishing the Climate Change Authority, reconstituting the Climate Change Council, or updating the Rules of Business to eliminate redundancies from the climate ministry’s mandate alone help turn around the nation’s climate vulnerabilities or access international finance?"
Reserved seats,"IT is usually best not to presume, but given recent developments, one may tentatively hope that the judiciary has finally woken up to the controversies surrounding the general election. Following a series of widely criticised decisions from the Election Commission of Pakistan — each of which, it seems, distorted or subverted the public mandate — the judiciary has finally checked the electoral body for exercising arbitrary control over the democratic process."
Reserved seats,"IT is usually best not to presume, but given recent developments, one may tentatively hope that the judiciary has finally woken up to the controversies surrounding the general election. Following a series of widely criticised decisions from the Election Commission of Pakistan — each of which, it seems, distorted or subverted the public mandate — the judiciary has finally checked the electoral body for exercising arbitrary control over the democratic process."
Most hated country in the world,"WHATEVER the Americans may have said on record, the past few weeks of the war in Gaza have proved to be quite trying for them. Central among their concerns is the hit that President Joe Biden’s re-election chances have taken as the war drags on."
Most hated country in the world,"WHATEVER the Americans may have said on record, the past few weeks of the war in Gaza have proved to be quite trying for them. Central among their concerns is the hit that President Joe Biden’s re-election chances have taken as the war drags on."
Our sluggish disinflation,"WHAT goes up must come down. This truth also applies to economic trends, which exhibit cycles of ups and downs. However, the pace of going up and coming down depends not on gravity, but economic policies. We are now seeing the effects of higher interest rates, which are slowly taking the steam out of inflation in the consumer price index (CPI). Year-on-year inflation has come down from its peak of 38 per cent in May 2023 to 17.3pc in April 2024."
Our sluggish disinflation,"WHAT goes up must come down. This truth also applies to economic trends, which exhibit cycles of ups and downs. However, the pace of going up and coming down depends not on gravity, but economic policies. We are now seeing the effects of higher interest rates, which are slowly taking the steam out of inflation in the consumer price index (CPI). Year-on-year inflation has come down from its peak of 38 per cent in May 2023 to 17.3pc in April 2024."
Impending slaughter,"RAFAH, the last shelter for Gaza’s hapless people, is about to face the wrath of the Israeli war machine. There had long been talk of Tel Aviv unleashing murderous force on the southern town on the Egyptian border after the devastation of the rest of Gaza. But now, as peace talks involving Hamas, the Israelis, and Arab interlocutors appear to be deadlocked, the Zionist state is set to unleash another round of butchery in order to ‘finish’ Hamas."
Impending slaughter,"RAFAH, the last shelter for Gaza’s hapless people, is about to face the wrath of the Israeli war machine. There had long been talk of Tel Aviv unleashing murderous force on the southern town on the Egyptian border after the devastation of the rest of Gaza. But now, as peace talks involving Hamas, the Israelis, and Arab interlocutors appear to be deadlocked, the Zionist state is set to unleash another round of butchery in order to ‘finish’ Hamas."
Something’s gotta give,"IT has been almost a year since May 9. In the coming days, much will be said and written about this unfortunate day, its significance and tragedy. There will also be heated discussions about the many individuals accused — imprisoned or not — and the unrepentant PTI."
Something’s gotta give,"IT has been almost a year since May 9. In the coming days, much will be said and written about this unfortunate day, its significance and tragedy. There will also be heated discussions about the many individuals accused — imprisoned or not — and the unrepentant PTI."
Al Syed Group and MG Agri Foods join hands for $15 million exports,
Hyundai shifting gears with the launch of IONIQ series,
Hyundai shifting gears with the launch of IONIQ series,
The storytellers of D’land,"“The storytellers are here”, said Dazel as she swooped down on a rock near the glistening silvery lake."
"Only way back for PTI is if it offers earnest apology, forgoes politics of anarchy: DG ISPR","Inter Services Public Relations (ISPR) Director General (DG) Maj-Gen Ahmed Sharif on Tuesday said that any dialogue with the PTI could happen only if it “earnestly apologises publicly in front of the nation”, promises to adopt “constructive politics” and forgoes “politics of anarchy”."
Most hated country in the world,"WHATEVER the Americans may have said on record, the past few weeks of the war in Gaza have proved to be quite trying for them. Central among their concerns is the hit that President Joe Biden’s re-election chances have taken as the war drags on."
Most hated country in the world,"WHATEVER the Americans may have said on record, the past few weeks of the war in Gaza have proved to be quite trying for them. Central among their concerns is the hit that President Joe Biden’s re-election chances have taken as the war drags on."
"Cartoon: 8 May, 2024","Dear visitor, the comments section is undergoing an overhaul and will return soon."
"US shows concern over safety of Imran, other prisoners","WASHINGTON: The US State Department on Tuesday emphasised the importance of ensuring the safety and security of all prisoners in Pakistan, including former prime minister Imran Khan."
Saudi Crown Prince MBS expected to arrive within days to seal investment deals,"• Dar terms talks with Saudi investors’ delegation ‘elaborate’
• FM explains did not sanction wheat import as ECC head, reiterates Islamabad won’t take dictation on Pakistan-Iran gas pipeline project"
"Dubai, Baku and Belém","THE federal government has just initiated an important but overly cautious process of streamlining its institutional landscape dealing with climate change. The primary motivation is to stre­ngthen the ability to unlock climate finances. But would establishing the Climate Change Authority, reconstituting the Climate Change Council, or updating the Rules of Business to eliminate redundancies from the climate ministry’s mandate alone help turn around the nation’s climate vulnerabilities or access international finance?"
"Dubai, Baku and Belém","THE federal government has just initiated an important but overly cautious process of streamlining its institutional landscape dealing with climate change. The primary motivation is to stre­ngthen the ability to unlock climate finances. But would establishing the Climate Change Authority, reconstituting the Climate Change Council, or updating the Rules of Business to eliminate redundancies from the climate ministry’s mandate alone help turn around the nation’s climate vulnerabilities or access international finance?"
The net metering dead end,"LET’S start with putting a couple of undue misapprehensions to rest. I have had the opportunity of interacting with key decision-makers in the power bureaucracy and they assure me of two things. First, solar panels installed in people’s homes are not going to be taxed. Second, the net metering rate at which power utilities buy electricity back from consumers is not going to be revised downward for those who already have their system up and running. They emphasise that changes are being considered in the net metering regulations of 2015, with a view to reducing the amount people receive for the power their systems pump into the grid, but that those with existing systems will not be impacted."
A fresh approach?,"SUCCESSIVE governments have tried to address the problems of Balochistan — particularly the province’s precarious law and order situation — with very little success. On Tuesday, President Asif Zardari, during a visit to Quetta, made a fresh attempt to tackle the issues of this tortured land. The president, while presiding over a meeting with top federal and provincial officials, reiterated the need for ‘dialogue’ between all political forces in Balochistan, while also calling for efforts to address its socioeconomic and law and order issues. A similar attempt was made by Mr Zardari and his party the last time he was in the presidency through the 2009 Aghaz-i-Haqooq-i-Balochistan package which was, at least on paper, a thorough plan designed to deal with many of the issues that have contributed to alienation in Balochistan. But today, nearly 15 years after the package was announced, separatist violence continues in Balochistan, as the underlying discontent has not been addressed. Other elected governments thereafter also announced various packages and schemes for the province, yet Balochistan’s problems remain unresolved."
Visa fraud,"THE FIA has a new task at hand: cracking down on fraudulent work visas. This was prompted by the discovery of a Pakistani human smugglingnetwork in Romania, which arranged for migrants to enter the EU through such means. The smugglers not only facilitated illegal entry into the EU but also the migrants’ further clandestine movement towards more affluent European nations, exploiting their hopes for a better life. The criminal network requested 509 work permits, successfully acquiring 102, and generating illicit profits exceeding a million euros. The FIA is broadening its focus from traditional sea and land routes to include air routes through Central Asia. Smugglers now use these air pathways alongside the earlier routes from Quetta through Iran, Turkey, and Greece, charging exorbitant rates to transport individuals into Europe. The urgency to address this menace has never been clearer. The government recently organised a conference in Islamabad in collaboration with international bodies to discuss human smuggling. However, this initiative must be part of a broader, more comprehensive strategy to tackle the issue."
Modi’s BJP toils as Indian elections lock 52pc seats,"SAMBHAL (Uttar Pradesh): People queue to vote at a polling station during the third phase of the general election, on Tuesday.—Reuters"
Our sluggish disinflation,"WHAT goes up must come down. This truth also applies to economic trends, which exhibit cycles of ups and downs. However, the pace of going up and coming down depends not on gravity, but economic policies. We are now seeing the effects of higher interest rates, which are slowly taking the steam out of inflation in the consumer price index (CPI). Year-on-year inflation has come down from its peak of 38 per cent in May 2023 to 17.3pc in April 2024."
PSO proposes swapping debt for stake in public sector companies,Pakistan State Oil (PSO) said it is in talks with the government on a plan to acquire stakes in public sector energy companies and offset mounting debt it is owed by firms such as the national airline.
Economic crisis deepens amid political instability,"KARACHI: Industrialists and analysts express growing concerns as political protests and wheat farmer demonstrations escalate, casting shadows over business activities and economic stability."
World Bank reaffirms help for development,ISLAMABAD: World Bank Vice-President for South Asia Martin Raiser concluded his three-day visit to Pakistan on Wednesday and reaffirmed the bank’s readiness to collaborate with Pakistan in its journey of economic transformation aimed at sustainable development.
PCB perplexed as Amir still awaits Ireland visa,KARACHI: Pakistan pacer Mohammad Amir is still waiting for his Ireland visa to travel to the country for the three-match Twenty20 International series that commences on Friday.
PCB perplexed as Amir still awaits Ireland visa,KARACHI: Pakistan pacer Mohammad Amir is still waiting for his Ireland visa to travel to the country for the three-match Twenty20 International series that commences on Friday.
"Pakistan come back to edge Canada, face Japan in Azlan Shah Cup final",
Olympic flame arrives in Marseille amid tight security,"MARSEILLE: The Olympic flame reached Marseille, just outside the Old Port, amid tight security on Wednesday, 79 days before the Paris 2024 Games Opening Ceremony."
Leverkusen edge closer to Dublin as another record looms,BERLIN: Xabi Alonso’s rampaging Bayer Leverkusen will have an additional incentive in Thursday’s home second-leg Europa League semi-final agai­nst Roma: breaking a 59-year-old European football record.
Last-gasp Waheed keeps Pakistan’s unbeaten run intact,IPOH: Forward Rana Waheed Ashraf scored from a penalty corner with a minute left to play to secure a 1-1 draw for Pakistan against Japan at the Sultan Azlan Shah Cup on Tuesday that kept his side’s unbeaten run at the tournament intact.
Last-gasp Waheed keeps Pakistan’s unbeaten run intact,IPOH: Forward Rana Waheed Ashraf scored from a penalty corner with a minute left to play to secure a 1-1 draw for Pakistan against Japan at the Sultan Azlan Shah Cup on Tuesday that kept his side’s unbeaten run at the tournament intact.
Combating terrorism is a ‘shared interest’ with Pakistan: US,WASHINGTON: The United States on Wednesday emphasised its ‘shared interest’ with Pakistan in addressing the critical threat that terrorism poses to the entire region.
EU staff members protest Israel’s bombing on Gaza,BRUSSELS: More than 100 staff members of European Union institutions gathered in Brussels on Wednesday in a protest against Israel’s war in Gaza.
World’s record-breaking temperature streak extends through April,"BRUSSELS: The world witnessed the hottest April on record, adding to an 11-month streak in which every month set a (fresh) temperature record, the European Union’s climate change monitoring service stated on Wednesday."
Germany sees spate of attacks on politicians; minister struck on head,"BERLIN: German police on Wednesday arrested a 74-year-old man suspected of hitting a former mayor of Berlin in the head, the latest in a rash of assaults against politicians in Germany."
Fistula and child marriages: The two epidemics plaguing women in Gilgit-Baltistan,"Seema, a resident of Astore District of Gilgit-Baltistan, received the title, ‘Woman of the Year’, not for her achievements, but for a fate imposed upon her at a tender age: child marriage. One can’t help but wonder how entering into a marriage contract at a tender age warrants this title."
From screens to streets: How Gen Z is disrupting the status quo and redefining activism,"Soft. Entitled. Snowflakes. Lazy. These are some of the characterisations about Gen Z (those born between 1997 and 2012) pushed in the media by older generations who have largely failed to connect with and understand what they are all about. But these disparaging words used to describe the generation are, in fact, baseless — these young individuals are anything but passive."
From screens to streets: How Gen Z is disrupting the status quo and redefining activism,"Soft. Entitled. Snowflakes. Lazy. These are some of the characterisations about Gen Z (those born between 1997 and 2012) pushed in the media by older generations who have largely failed to connect with and understand what they are all about. But these disparaging words used to describe the generation are, in fact, baseless — these young individuals are anything but passive."
Paris 2024 gearing up to face unprecedented cybersecurity threat,"Paris 2024 is getting ready to face an unprecedented challenge in terms of cybersecurity, with organisers expecting huge pressure on the Games this summer."
PAKISTAN’S MOMENT OF YOUTH,The future of Pakistan — good or bad — will be determined by its young; most especially by those who are between 15 and 29 years of age today.
ESSAY: HAUNTED BY HER MEMORIES,
Packaging film sector on the rise,"The processed food sector in Pakistan is witnessing a significant growth in demand, spurring investment in both the food processing and packaging material industries."
Wheat’s tricky procurement,The ongoing protests by farmers against the government’s wheat procurement policy have triggered a debate.
Mailbox,
